time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-06T01:32:00.491Z,-22.4827,170.7166,10,4.6,mb,,175,3.025,0.68,us,us7000h1sl,2022-04-30T00:42:50.040Z,southeast of the Loyalty Islands,earthquake,9.2,2,0.193,8,reviewed,us,us
2022-04-05T15:37:20.284Z,-14.0979,167.1388,159.72,4.5,mb,,104,1.342,0.33,us,us7000h0qy,2022-04-13T18:42:26.040Z,"50 km WSW of Sola, Vanuatu",earthquake,11.7,6.5,0.163,14,reviewed,us,us
2022-04-05T03:51:32.513Z,-17.3681,165.6578,10,4.5,mb,,66,2.418,0.9,us,us7000h0qc,2022-04-14T00:32:48.040Z,"234 km SW of Lakatoro, Vanuatu",earthquake,6.1,1.9,0.192,11,reviewed,us,us
2022-04-05T00:46:08.659Z,-22.5166,170.3936,10,4.8,mb,,69,2.725,0.91,us,us7000gzq4,2022-04-12T03:34:41.040Z,"280 km ESE of Tadine, New Caledonia",earthquake,4.8,1.8,0.083,45,reviewed,us,us
2022-04-04T16:06:57.662Z,-17.4723,167.8625,31,6,mww,,32,2.11,0.82,us,usd000h551,2022-04-13T13:43:36.370Z,"56 km WNW of Port-Vila, Vanuatu",earthquake,6.9,1.8,0.046,45,reviewed,us,us
2022-04-04T14:00:00.380Z,-21.9019,170.257,10,4.5,mb,,200,2.698,0.66,us,us7000h0nt,2022-04-12T13:28:09.040Z,"249 km E of Tadine, New Caledonia",earthquake,7.1,2,0.131,17,reviewed,us,us
2022-04-04T13:43:14.211Z,-22.0363,170.2586,10,4.5,mb,,151,2.666,0.62,us,us7000h0ns,2022-04-12T13:15:31.040Z,"251 km ESE of Tadine, New Caledonia",earthquake,11.3,1.9,0.14,18,reviewed,us,us
2022-04-04T06:48:13.618Z,-23.0319,170.5388,10,4.7,mb,,114,2.883,0.51,us,us7000gzi8,2022-04-04T07:11:35.040Z,southeast of the Loyalty Islands,earthquake,10.4,1.9,0.137,16,reviewed,us,us
2022-04-04T00:03:31.225Z,-22.439,169.9571,10,4.5,mb,,74,2.327,0.57,us,us7000gzgv,2022-04-19T04:27:38.040Z,"236 km ESE of Tadine, New Caledonia",earthquake,8.9,1.9,0.144,14,reviewed,us,us
2022-04-03T23:46:26.385Z,-22.4674,170.0841,10,4.5,mb,,83,2.442,0.64,us,us7000gzgs,2022-04-19T04:25:24.040Z,"249 km ESE of Tadine, New Caledonia",earthquake,9.1,1.9,0.136,16,reviewed,us,us
2022-04-03T22:39:53.579Z,-22.7063,171.0918,10,4.3,mb,,102,3.368,0.84,us,us7000h0gm,2022-04-12T02:18:21.040Z,southeast of the Loyalty Islands,earthquake,9.1,1.9,0.218,6,reviewed,us,us
2022-04-03T20:06:17.700Z,-22.4731,170.1677,10,4.6,mb,,85,2.519,1.02,us,us7000h0gd,2022-04-15T21:10:17.040Z,"257 km ESE of Tadine, New Caledonia",earthquake,7.6,1.9,0.117,22,reviewed,us,us
2022-04-03T18:44:29.647Z,-22.7765,170.0847,10,4.8,mww,,185,2.441,0.51,us,us7000gzeu,2022-04-03T19:23:08.040Z,"264 km ESE of Tadine, New Caledonia",earthquake,7.5,1.9,0.098,10,reviewed,us,us
