time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-11T19:01:54.276Z,-16.7452,-177.1551,10,4.7,mb,,118,2.596,0.71,us,us7000h28b,2022-04-15T21:24:55.040Z,"288 km SSE of Alo, Wallis and Futuna",earthquake,9.5,1.9,0.09,38,reviewed,us,us
2022-04-11T15:46:49.026Z,-25.0355,-179.9373,500.78,4.5,mb,,121,4.577,0.62,us,us7000h1ac,2022-04-17T19:26:22.040Z,south of the Fiji Islands,earthquake,10.6,9.1,0.106,28,reviewed,us,us
2022-04-11T15:22:48.736Z,-17.6297,-178.797,593.71,4.5,mb,,131,3.005,0.44,us,us7000h287,2022-04-17T18:42:06.040Z,"205 km ENE of Levuka, Fiji",earthquake,14.6,6.6,0.131,20,reviewed,us,us
2022-04-11T14:41:57.190Z,-15.6164,-177.6824,10,4.9,mb,,106,1.368,0.63,us,us7000h1a2,2022-04-17T16:37:47.040Z,Fiji region,earthquake,5.4,1.9,0.061,90,reviewed,us,us
2022-04-11T10:58:50.448Z,-15.1031,-173.4094,10,4.7,mb,,61,1.972,0.92,us,us7000h281,2022-04-18T13:01:15.040Z,"102 km NNE of Hihifo, Tonga",earthquake,8.5,1.9,0.099,31,reviewed,us,us
2022-04-11T00:43:40.494Z,-29.8705,-177.1633,10,4.8,mb,,138,0.895,0.85,us,us7000h16d,2022-04-25T20:57:11.040Z,"Kermadec Islands, New Zealand",earthquake,3.6,1.9,0.127,19,reviewed,us,us
2022-04-10T10:28:40.507Z,-17.1136,-172.4302,10,4.7,mb,,53,3.247,0.55,us,us7000h250,2022-04-17T06:47:53.040Z,"194 km SE of Hihifo, Tonga",earthquake,8.9,1.8,0.084,43,reviewed,us,us
2022-04-10T01:30:19.160Z,-21.1138,-173.6083,10,5.2,mb,,87,7.374,1.13,us,us7000h24u,2022-04-14T23:45:22.040Z,"141 km E of ‘Ohonua, Tonga",earthquake,5,1.9,0.159,15,reviewed,us,us
2022-04-09T22:53:17.580Z,-22.1595,-177.1813,324.01,4.5,mb,,90,6.274,0.67,us,us7000h0zi,2022-04-26T02:54:46.040Z,"232 km WSW of Haveluloto, Tonga",earthquake,7.8,5.3,0.088,38,reviewed,us,us
2022-04-09T09:40:00.808Z,-18.0932,-178.322,494.25,4.9,mb,,37,3.468,0.88,us,us7000h0vs,2022-04-09T10:01:53.040Z,"249 km E of Levuka, Fiji",earthquake,9,5.3,0.026,466,reviewed,us,us
2022-04-08T19:00:49.584Z,-20.9157,-178.5948,577.69,4.5,mb,,42,4.468,1.12,us,us7000h0sj,2022-04-08T19:40:52.040Z,Fiji region,earthquake,6.5,6,0.035,246,reviewed,us,us
2022-04-08T16:30:43.452Z,-24.6275,179.8253,521.15,4.4,mb,,93,5.035,0.83,us,us7000h1uh,2022-04-16T12:50:06.040Z,south of the Fiji Islands,earthquake,11.3,10.2,0.126,18,reviewed,us,us
2022-04-08T06:07:31.597Z,-25.2552,179.9112,510.85,4,mb,,97,4.433,0.55,us,us7000h1u5,2022-04-17T06:14:03.040Z,south of the Fiji Islands,earthquake,14.9,11.3,0.172,10,reviewed,us,us
2022-04-08T05:39:32.058Z,-21.5555,-179.2207,603.43,4.2,mb,,72,4.579,0.75,us,us7000h0lu,2022-04-17T06:07:37.040Z,Fiji region,earthquake,7,10.2,0.115,21,reviewed,us,us
2022-04-08T05:04:59.075Z,-29.877,-177.1807,10,4.7,mb,,187,0.889,0.34,us,us7000h1u0,2022-04-17T06:01:51.040Z,"Kermadec Islands, New Zealand",earthquake,14.9,1.9,0.174,10,reviewed,us,us
2022-04-08T00:25:26.837Z,-17.908,-178.5323,629.17,4.1,mb,,122,3.257,0.58,us,us7000h1tv,2022-04-19T02:07:24.040Z,"228 km E of Levuka, Fiji",earthquake,12.3,8.9,0.075,48,reviewed,us,us
2022-04-07T23:16:23.329Z,-29.3122,-176.6242,10,4.4,mb,,123,1.133,0.99,us,us7000h1tp,2022-04-19T04:20:48.040Z,Kermadec Islands region,earthquake,11.3,1.1,0.381,2,reviewed,us,us
2022-04-07T17:36:54.764Z,-27.7334,-176.3547,10,4.8,mb,,58,2.053,0.87,us,us7000h1tk,2022-04-15T16:14:27.040Z,Kermadec Islands region,earthquake,10.5,1.8,0.086,42,reviewed,us,us
2022-04-07T13:12:22.806Z,-27.0054,-176.3651,10,4.8,mb,,138,2.634,1.06,us,us7000h1td,2022-04-15T21:21:49.040Z,Kermadec Islands region,earthquake,10.9,1.9,0.113,24,reviewed,us,us
2022-04-07T02:55:50.823Z,-27.0578,-176.4347,35,4.5,mb,,107,2.557,0.92,us,us7000h1ss,2022-04-17T23:38:29.040Z,Kermadec Islands region,earthquake,5.3,2,0.14,15,reviewed,us,us
2022-04-06T23:21:46.274Z,-20.1442,-174.0613,10,4.5,mb,,168,7.835,0.81,us,us7000h1si,2022-04-29T23:13:27.040Z,"47 km SE of Pangai, Tonga",earthquake,12.8,1.7,0.164,11,reviewed,us,us
2022-04-06T18:37:59.331Z,-18.0017,-178.2771,562.78,4.1,mb,,122,3.504,0.55,us,us7000h1s9,2022-04-13T18:01:13.040Z,"254 km E of Levuka, Fiji",earthquake,13.4,5.9,0.107,24,reviewed,us,us
2022-04-06T16:56:06.360Z,-26.8691,-176.6394,35,4.5,mb,,138,2.639,1.28,us,us7000h1s7,2022-04-21T23:49:44.040Z,south of the Fiji Islands,earthquake,7.3,1.9,0.163,11,reviewed,us,us
2022-04-06T15:33:21.699Z,-26.9418,-176.406,10,4.6,mb,,138,2.67,0.75,us,us7000h1s5,2022-04-21T23:10:50.040Z,south of the Fiji Islands,earthquake,7.8,1.9,0.152,13,reviewed,us,us
2022-04-06T15:27:56.472Z,-27.0352,-176.3708,11.31,5.5,mww,,87,2.606,0.68,us,us7000h05d,2022-04-07T17:11:52.040Z,Kermadec Islands region,earthquake,10.2,4,0.073,18,reviewed,us,us
2022-04-06T12:53:37.049Z,-15.1592,-173.4882,152.8,4.5,mb,,143,4.561,0.75,us,us7000h1rz,2022-04-17T05:24:14.040Z,"93 km NNE of Hihifo, Tonga",earthquake,13.8,8.2,0.14,15,reviewed,us,us
2022-04-06T04:37:05.206Z,-18.7645,-173.6234,35,4.6,mb,,89,6.183,0.87,us,us7000h1rq,2022-04-15T03:25:15.040Z,"40 km ESE of Neiafu, Tonga",earthquake,8.3,2,0.122,20,reviewed,us,us
2022-04-06T02:55:08.744Z,-19.4229,-177.5233,559.21,4.3,mb,,123,4.515,0.79,us,us7000h1rg,2022-04-30T00:05:10.040Z,Fiji region,earthquake,14,9.3,0.148,13,reviewed,us,us
2022-04-05T23:00:26.077Z,-18.166,-178.03,503.43,4.3,mb,,127,3.752,0.87,us,us7000h0r1,2022-04-21T05:36:52.040Z,"281 km E of Levuka, Fiji",earthquake,13.5,9.2,0.122,19,reviewed,us,us
2022-04-05T22:14:19.320Z,-21.0385,-178.2977,542.58,4.3,mb,,115,4.753,0.93,us,us7000h004,2022-04-21T04:03:52.040Z,Fiji region,earthquake,13.1,6.8,0.093,33,reviewed,us,us
2022-04-05T20:24:27.752Z,-25.5781,-176.5545,38.05,5.1,mww,,72,3.865,0.78,us,us7000gzyd,2022-04-05T22:20:29.040Z,south of the Fiji Islands,earthquake,11.4,5.8,0.093,11,reviewed,us,us
2022-04-05T02:10:46.192Z,-31.5433,179.3293,482.74,4.4,mb,,69,3.288,0.43,us,us7000h0q9,2022-04-13T22:37:32.040Z,Kermadec Islands region,earthquake,12.7,7,0.155,12,reviewed,us,us
2022-04-05T00:13:54.107Z,-27.8698,-176.5434,10,4.5,mb,,74,1.841,0.83,us,us7000h0qd,2022-04-17T21:14:53.040Z,Kermadec Islands region,earthquake,11.4,1.8,0.105,27,reviewed,us,us
2022-04-04T23:38:24.332Z,-28.1263,-176.3902,10,4.8,mb,,124,1.757,0.94,us,us7000gzpw,2022-04-19T04:33:03.040Z,Kermadec Islands region,earthquake,10.7,1.8,0.094,35,reviewed,us,us
2022-04-04T20:14:29.323Z,-21.6435,-177.0706,261.85,4.5,mb,,103,6.011,0.96,us,us7000gznu,2022-04-11T18:06:29.040Z,"200 km WSW of Haveluloto, Tonga",earthquake,14.1,6.5,0.075,52,reviewed,us,us
2022-04-04T16:56:40.400Z,-24.0272,-179.8359,489.54,4.2,mb,,180,5.488,0.47,us,us7000h0nz,2022-04-13T14:31:48.040Z,south of the Fiji Islands,earthquake,11.3,20,0.136,15,reviewed,us,us
2022-04-04T15:18:57.593Z,-18.997,-177.413,514.4,4.8,mb,,115,4.482,0.59,us,us7000gzl6,2022-04-12T15:54:06.040Z,Fiji region,earthquake,13.1,8,0.062,81,reviewed,us,us
2022-04-03T22:59:47.900Z,-20.8357,-177.3577,466.53,4.3,mb,,156,5.314,0.54,us,us7000h0gn,2022-04-12T03:22:25.040Z,"225 km W of Haveluloto, Tonga",earthquake,10.2,13.2,0.201,7,reviewed,us,us
2022-04-03T20:22:58.052Z,-15.7921,-173.0821,10,4.8,mb,,104,2.255,0.91,us,us7000gzf8,2022-04-03T20:53:46.040Z,"78 km ENE of Hihifo, Tonga",earthquake,6,1.8,0.091,37,reviewed,us,us
2022-04-03T16:19:01.279Z,-32.9877,-177.9259,10,4.6,mb,,172,3.714,0.65,us,us7000h0g5,2022-04-11T14:51:47.040Z,south of the Kermadec Islands,earthquake,12,1.9,0.273,5,reviewed,us,us
2022-04-03T13:04:31.977Z,-29.9839,-177.4855,10,4.5,mb,,191,0.812,1.12,us,us7000h0fy,2022-04-10T17:24:09.040Z,"Kermadec Islands, New Zealand",earthquake,6.9,1.9,0.171,10,reviewed,us,us
2022-04-02T22:05:15.217Z,-17.0082,-174.3777,10,5.2,mww,,116,3.969,0.65,us,us7000gz9i,2022-04-30T03:58:41.595Z,"132 km SSW of Hihifo, Tonga",earthquake,8.8,1.8,0.098,10,reviewed,us,us
2022-04-02T15:45:46.438Z,-30.6948,-176.7372,10,4.6,mb,,133,1.758,0.76,us,us7000h0dz,2022-04-15T19:52:37.040Z,Kermadec Islands region,earthquake,10.2,1.9,0.132,19,reviewed,us,us
2022-04-02T15:17:43.651Z,-29.1211,-176.3936,10,4.9,mb,,66,1.342,0.84,us,us7000gzbf,2022-04-15T19:40:43.040Z,Kermadec Islands region,earthquake,9.1,1.8,0.082,46,reviewed,us,us
2022-04-02T12:20:05.986Z,-15.0832,-173.0874,10,4.3,mb,,97,1.72,0.39,us,us7000h0ds,2022-04-30T07:45:35.040Z,"122 km NE of Hihifo, Tonga",earthquake,8.9,1.9,0.161,13,reviewed,us,us
2022-04-02T09:46:16.527Z,-19.5236,-173.5562,116.62,4.6,mb,,163,5.836,0.34,us,us7000h0dm,2022-04-29T08:19:07.040Z,"89 km ENE of Pangai, Tonga",earthquake,15.1,12.9,0.125,23,reviewed,us,us
2022-04-02T06:09:44.735Z,-16.443,-177.3571,10,4.5,mb,,114,2.247,0.58,us,us7000h0dg,2022-04-16T05:00:06.040Z,"249 km SSE of Alo, Wallis and Futuna",earthquake,6.2,1.9,0.181,9,reviewed,us,us
2022-04-01T16:49:01.592Z,-22.2843,-179.4461,577.63,4.2,mb,,125,7.083,0.57,us,us7000h06l,2022-04-08T21:03:19.040Z,south of the Fiji Islands,earthquake,13.8,10,0.108,24,reviewed,us,us
2022-04-01T05:07:51.669Z,-23.4219,-179.7754,548.1,4.4,mb,,106,6.003,0.89,us,us7000gyvr,2022-04-15T06:08:13.040Z,south of the Fiji Islands,earthquake,14.7,10.5,0.115,22,reviewed,us,us
2022-03-31T13:56:01.884Z,-21.4607,-178.3975,573.72,4.6,mb,,86,7.78,0.59,us,us7000gypu,2022-04-25T14:59:54.040Z,Fiji region,earthquake,12.7,10.2,0.091,36,reviewed,us,us
2022-03-31T07:52:16.574Z,-19.3367,-177.2888,576.26,4,mb,,135,4.694,0.8,us,us7000gzvf,2022-04-24T13:01:18.040Z,"295 km NW of Nuku‘alofa, Tonga",earthquake,10.5,11.7,0.163,12,reviewed,us,us
2022-03-31T05:45:43.723Z,-18.1603,-173.8272,48.76,5.3,mb,,80,4.662,0.57,us,us7000gzvh,2022-04-24T12:52:23.040Z,"56 km NNE of Neiafu, Tonga",earthquake,8.6,11.5,0.154,14,reviewed,us,us
2022-03-31T02:21:54.266Z,-17.4261,-172.4749,10,4.6,mb,,126,3.56,0.54,us,us7000gzv0,2022-04-06T02:48:10.040Z,"209 km NE of Neiafu, Tonga",earthquake,8.3,1.9,0.151,17,reviewed,us,us
