"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","strTime","Month","Day","Year","DailyS","CumulativeS"
2022-04-01 01:27:32,-23.0792,170.6146,10,4.6,"mb",NA,107,2.959,1.02,"us","us7000h05x",2022-04-07 00:52:49,"southeast of the Loyalty Islands","earthquake",7.6,1.9,0.274,5,"reviewed","us","us","04/01/22 01:27:32",4,1,2022,5252,7781252
2022-04-01 01:15:28,-22.4795,170.6864,10,4.4,"mb",NA,186,2.998,0.97,"us","us7000h05w",2022-04-07 00:47:05,"southeast of the Loyalty Islands","earthquake",10.9,1.9,0.269,4,"reviewed","us","us","04/01/22 01:15:28",4,1,2022,4528,7780528
2022-04-01 01:08:14,-22.8832,170.5603,10,4.8,"mb",NA,106,2.887,0.61,"us","us7000gyum",2022-04-23 02:22:02,"southeast of the Loyalty Islands","earthquake",6.8,1.9,0.124,22,"reviewed","us","us","04/01/22 01:08:14",4,1,2022,4094,7780094
2022-04-01 00:12:39,-22.3586,170.2478,10,4.1,"mb",NA,187,2.603,0.34,"us","us7000h05u",2022-04-10 03:19:40,"260 km ESE of Tadine, New Caledonia","earthquake",8.9,2,0.37,2,"reviewed","us","us","04/01/22 00:12:39",4,1,2022,759,7776759
2022-03-31 23:32:34,-22.807,171.0845,10,4.6,"mb",NA,72,3.364,0.65,"us","us7000gzwg",2022-04-09 03:28:21,"southeast of the Loyalty Islands","earthquake",7.8,1.9,0.173,10,"reviewed","us","us","03/31/22 23:32:34",3,31,2022,84754,7774354
2022-03-31 23:13:42,-22.8819,170.8071,10,4.4,"mb",NA,154,3.113,0.39,"us","us7000gzwh",2022-04-09 03:37:32,"southeast of the Loyalty Islands","earthquake",7.7,2,0.24,5,"reviewed","us","us","03/31/22 23:13:42",3,31,2022,83622,7773222
2022-03-31 22:33:18,-22.8543,170.5397,10,4.5,"mb",NA,110,2.865,0.72,"us","us7000gzwd",2022-04-16 04:21:03,"southeast of the Loyalty Islands","earthquake",9.1,1.9,0.172,10,"reviewed","us","us","03/31/22 22:33:18",3,31,2022,81198,7770798
2022-03-31 21:59:44,-22.6706,170.65,10,5.1,"mb",NA,50,2.96,1.11,"us","us7000gyts",2022-03-31 22:15:41,"southeast of the Loyalty Islands","earthquake",7.5,1.9,0.073,62,"reviewed","us","us","03/31/22 21:59:44",3,31,2022,79184,7768784
2022-03-31 20:09:49,-22.6294,170.5407,10,4.5,"mb",NA,105,2.859,0.99,"us","us7000gzw9",2022-04-07 16:11:56,"299 km ESE of Tadine, New Caledonia","earthquake",5.1,1.9,0.156,12,"reviewed","us","us","03/31/22 20:09:49",3,31,2022,72589,7762189
2022-03-31 19:50:40,-22.6577,170.8084,20,6.4,"mww",NA,33,3.106,0.97,"us","us7000gysz",2022-04-27 19:56:06,"southeast of the Loyalty Islands","earthquake",7.9,1.8,0.034,81,"reviewed","us","us","03/31/22 19:50:40",3,31,2022,71440,7761040
2022-03-31 16:41:44,-22.9528,170.1807,10,4.2,"mb",NA,219,3.565,0.96,"us","us7000gzw8",2022-04-27 21:14:12,"277 km E of Vao, New Caledonia","earthquake",10.1,2,0.235,7,"reviewed","us","us","03/31/22 16:41:44",3,31,2022,60104,7749704
2022-03-31 15:54:27,-22.1992,170.2715,10,5.4,"mww",NA,45,2.646,0.88,"us","us7000gyr3",2022-04-29 18:05:41,"257 km ESE of Tadine, New Caledonia","earthquake",7.2,1.7,0.059,28,"reviewed","us","us","03/31/22 15:54:27",3,31,2022,57267,7746867
2022-03-31 15:36:46,-22.5135,170.118,10,4.4,"mb",NA,102,2.471,0.51,"us","us7000gzw3",2022-04-27 19:57:39,"254 km ESE of Tadine, New Caledonia","earthquake",8.1,1.9,0.12,24,"reviewed","us","us","03/31/22 15:36:46",3,31,2022,56206,7745806
